attempt 1

iteration: 1, cost: 7.051593267904146, accuracy: 0.35714285714285715, bad points: 364
iteration: 2, cost: 1.6247570319440279, accuracy: 0.3708791208791209, bad points: 229
iteration: 3, cost: 0.8905147701674956, accuracy: 0.3159340659340659, bad points: 364
iteration: 4, cost: 0.8782377364366555, accuracy: 0.33516483516483514, bad points: 364
iteration: 5, cost: 0.8762490420291085, accuracy: 0.39285714285714285, bad points: 364
iteration: 6, cost: 0.8760383780881423, accuracy: 0.3983516483516483, bad points: 364
iteration: 7, cost: 0.8759113795528801, accuracy: 0.3956043956043956, bad points: 364
iteration: 8, cost: 0.875733073562172, accuracy: 0.3983516483516483, bad points: 364
iteration: 9, cost: 0.8756421653667174, accuracy: 0.4010989010989011, bad points: 364
iteration: 10, cost: 0.875613495556484, accuracy: 0.40384615384615385, bad points: 364
iteration: 11, cost: 0.8755094725917848, accuracy: 0.39285714285714285, bad points: 364
iteration: 12, cost: 0.8753294554668736, accuracy: 0.40384615384615385, bad points: 364
iteration: 13, cost: 0.8753365931796465, accuracy: 0.4010989010989011, bad points: 364
iteration: 14, cost: 0.8752039730209267, accuracy: 0.4065934065934066, bad points: 364
iteration: 15, cost: 0.8752153332595495, accuracy: 0.40384615384615385, bad points: 364
iteration: 16, cost: 0.8750872698855244, accuracy: 0.4065934065934066, bad points: 364
iteration: 17, cost: 0.8750998724756783, accuracy: 0.40384615384615385, bad points: 364
iteration: 18, cost: 0.8749787881008142, accuracy: 0.4065934065934066, bad points: 364
iteration: 19, cost: 0.8749955506018607, accuracy: 0.40384615384615385, bad points: 364
iteration: 20, cost: 0.8748848374616588, accuracy: 0.40934065934065933, bad points: 364
iteration: 21, cost: 0.8748941640549099, accuracy: 0.4065934065934066, bad points: 364
iteration: 22, cost: 0.8747836733554446, accuracy: 0.40934065934065933, bad points: 364
iteration: 23, cost: 0.874799476977966, accuracy: 0.4065934065934066, bad points: 364
iteration: 24, cost: 0.874691028772918, accuracy: 0.41483516483516486, bad points: 364
iteration: 25, cost: 0.8747054085241367, accuracy: 0.41208791208791207, bad points: 364
iteration: 26, cost: 0.8745841994966356, accuracy: 0.41483516483516486, bad points: 364
iteration: 27, cost: 0.8745985358617834, accuracy: 0.41483516483516486, bad points: 364
